## 超强4简 使用deal_super_4jian_no_conflict.py生成
啊啊啊啊	aaaa
傲岸不群	aabq
皑皑白雪	aabx
嗷嗷待哺	aadb
暗暗淡淡	aadd
安安分分	aaff
哀哀父母	aafm
安安静静	aajj
矮矮胖胖	aapp
暗暗祈祷	aaqd
安安全全	aaqq
安安然然	aarr
凹凹凸凸	aatt
艾奥瓦州	aawv
安安稳稳	aaww
昂昂溪区	aaxq
安安心心	aaxx
安安逸逸	aayy
肮肮脏脏	aazz
阿巴阿巴	abab
爱不爱国	abag
安不安全	abaq
爱不爱我	abaw
按兵不动	abbd
哀兵必胜	abbu
阿布达比	abdb
奥比岛的	abdd
阿卜杜尔	abde
安邦定国	abdg
安步当车	abdi
阿伯丁郡	abdj
阿卜杜勒	abdl
阿拜多斯	abds
阿鼻地狱	abdy
阿苯达唑	abdz
安巴尔省	abeu
阿不福思	abfs
熬不过去	abgq
阿部规秀	abgx
阿布哈兹	abhz
按部就班	abjb
安倍吉俊	abjj
安倍晋三	abjs
安邦济世	abju
傲不可长	abkv
奥布卡因	abky
安布里奥	abla
奥布莱恩	able
埃布罗河	ablh
爱别离苦	ablk
安波里欧	ablo
安布罗斯	abls
阿波罗神	ablu
爱宝乐园	ably
岸本齐史	abqu
安保人员	abry
阿勃梭鲁	absl
奥巴桑乔	absq
艾伯塔省	abtu
奥本山宫	abug
案兵束甲	abuj
爱不释手	abuu
阿布扎比	abvb
啊不知道	abvd
安邦治国	abvg
熬不住了	abvl
安不忘危	abww
安邦兴国	abxg
敖包相会	abxh
氨苄西林	abxl
熬不下去	abxq
安保系统	abxt
爱不需要	abxy
安保压力	abyl
凹版印刷	abyu
阿坝藏族	abzz
暗藏灯带	acdd
暗藏风险	acfx
安彩高科	acgk
爱才好士	achu
暗藏祸心	achx
暗藏春色	acis
按次计费	acjf
暗藏机关	acjg
按错键了	acjl
爱错了人	aclr
暗藏猫腻	acmn
昂藏七尺	acqi
爱财如命	acrm
暗藏杀机	acuj
暗藏深意	acuy
暗藏危机	acwj
暗藏危险	acwx
暗藏玄机	acxj
暗藏汹涌	acxy
爱党爱国	adag
爱都爱了	adal
爱的抱抱	adbb
爱得不得	adbd
爱得不够	adbg
爱搭不理	adbl
爱得卑微	adbw
爱到不行	adbx
爱的存在	adcz
啊对对对	addd
挨打的份	addf
爱的代价	addj
阿登地区	addq
阿迪达斯	adds
爱地大厦	addu
暗淡的月	addy
埃德尔曼	adem
爱的奉献	adfx
阿登高地	adgd
安定广场	adgi
爱的感觉	adgj
爱的故事	adgu
安多哈尔	adhe
挨得很近	adhj
安顿好了	adhl
爱得很深	adhu
爱达荷州	adhv
爱德华兹	adhz
爱的城堡	adib
暗度陈仓	adic
爱的程度	adid
爱的季节	adjj
爱的纪念	adjn
爱的阶梯	adjt
爱的教育	adjy
埃迪卡拉	adkl
阿德里安	adla
安得拉邦	adlb
阿德莱德	adld
安大略湖	adlh
按道理讲	adlj
爱的力量	adll
暗地里却	adlq
奥地利人	adlr
安德鲁斯	adls
按道理说	adlu
爱的礼物	adlw
案牍劳形	adlx
澳大利亚	adly
埃德蒙顿	admd
安达曼海	admh
安定门内	admn
安定门桥	admq
艾德蒙斯	adms
安定门站	admv
安东尼奥	adna
安东诺夫	adnf
阿多尼斯	adns
爱的迫降	adpj
奥氮平片	adpp
奥迪汽车	adqi
爱的奇迹	adqj
爱的躯壳	adqq
安堵如故	adrg
爱得热烈	adrl
安定人心	adrx
氨丁三醇	adsi
昂丹司琼	adsq
安第斯山	adsu
阿迪萨亚	adsy
安定团结	adtj
爱得太深	adtu
挨冻受饿	adue
熬的时候	aduh
爱得深沉	adui
爱的世界	aduj
挨打受骂	adum
挨打受气	aduq
爱的真谛	advd
安得智联	advl
爱的箴言	advy
爱的温度	adwd
安达维尔	adwe
黯淡无光	adwg
安度晚年	adwn
安定下来	adxl
奥德修斯	adxs
阿德耶米	adym
爱得要死	adys
安度余生	adyu
爱的一种	adyv
哎等一下	adyx
按倒在地	adzd
熬到最后	adzh
安顿自己	adzj
爱的滋味	adzw
阿尔比昂	aeba
爱而不得	aebd
爱而不见	aebj
埃尔比勒	aebl
奥尔巴尼	aebn
阿尔卑斯	aebs
阿尔伯特	aebt
哀而不伤	aebu
埃尔多安	aeda
阿尔代尔	aede
艾尔登环	aedh
阿尔都塞	aeds
艾尔迪亚	aedy
阿尔法狗	aefg
阿尔法诺	aefn
奥尔芬斯	aefs
埃尔福特	aeft
阿耳戈斯	aegs
奥尔胡斯	aehs
阿尔及尔	aeje
奥尔加隆	aejl
阿尔金山	aeju
阿尔卡特	aekt
爱尔兰吧	aelb
埃尔隆德	aeld
埃尔朗根	aelg
爱尔兰海	aelh
爱尔兰人	aelr
艾俄洛斯	aels
爱尔兰语	aely
阿尔梅勒	aeml
奥尔默特	aemt
埃尔帕索	aeps
阿尔萨斯	aess
阿尔斯通	aest
阿尔特塔	aett
阿尔泰山	aetu
阿尔泰语	aety
挨饿受冻	aeud
阿尔山市	aeuu
阿尔沙文	aeuw
阿尔宙斯	aevs
阿尔瓦雷	aewl
阿尔维斯	aews
爱尔维修	aewx
爱恶作剧	aezj
癌发病率	afbl
案发地点	afdd
暗访调查	afdi
奥飞动漫	afdm
氨酚待因	afdy
安菲尔德	afed
阿富汗人	afhr
安防行业	afhy
安防产品	afip
奥帆基地	afjd
安防监控	afjk
阿芙精油	afjy
阿芙乐尔	afle
阿弗莱克	aflk
爱发牢骚	afls
埃弗雷特	aflt
安抚民众	afmv
爱发脾气	afpq
安分随时	afsu
安非他命	aftm
安防体系	aftx
安分守己	afuj
安抚众人	afvr
阿飞正传	afvv
案发现场	afxi
按方向键	afxj
安抚下来	afxl
安防系统	afxt
阿飞西雅	afxy
安富尊荣	afzr
爱国爱党	agad
爱国爱港	agag
爱国爱家	agaj
阿公阿婆	agap
爱国爱校	agax
爱干不干	agbg
爱过的人	agdr
按股分红	agfh
爱国奉献	agfx
爱国活动	aghd
爱国华侨	aghq
鞍钢集团	agjt
爱国精神	agju
爱岗敬业	agjy
熬过来的	agld
熬过来了	agll
阿格拉玛	aglm
阿格利司	agls
傲骨嶙峋	aglx
奥格门汀	agmt
按功能键	agnj
矮杆品种	agpv
熬过去吧	agqb
爱国情怀	agqh
熬过去了	agql
爱国青年	agqn
奥格瑞拉	agrl
奥格瑞姆	agrm
爱国热情	agrq
爱狗人士	agru
安规认证	agrv
奥古斯都	agsd
奥古斯特	agst
爱国同胞	agtb
阿根廷队	agtd
阿根廷区	agtq
阿根廷人	agtr
爱国守法	aguf
爱国诗人	agur
熬更守夜	aguy
爱国志士	agvu
阿甘正传	agvv
爱国之心	agvx
爱国主义	agvy
爱国卫生	agwu
哀感顽艳	agwy
鞍钢宪法	agxf
爱管闲事	agxu
爱国运动	agyd
安古伊萨	agys
安敢在此	agzc
哎嗨哎嗨	ahah
安徽蚌埠	ahbb
哀鸿遍地	ahbd
爱回不回	ahbh
氨磺必利	ahbl
暗黑不朽	ahbx
哀鸿遍野	ahby
安徽等地	ahdd
暗黑地牢	ahdl
安魂定魄	ahdp
安徽地区	ahdq
爱护动物	ahdw
安徽大学	ahdx
安徽分行	ahfh
爱恨分明	ahfm
安徽阜阳	ahfy
爱很复杂	ahfz
爱好广泛	ahgf
安徽高考	ahgk
爱护公物	ahgw
安徽合肥	ahhf
爱好和平	ahhp
爱荷华州	ahhv
安徽长丰	ahif
胺合成酶	ahim
爱火重燃	ahir
暗黑传说	ahiu
爱很简单	ahjd
爱恨交缠	ahji
爱恨交加	ahjj
爱恨交织	ahjv
爱喝可乐	ahkl
安徽六安	ahla
爱好旅行	ahlx
艾哈迈德	ahmd
懊悔莫及	ahmj
哀鸿满路	ahml
安魂弥撒	ahms
暗黑模式	ahmu
阿合娜尔	ahne
爱恨情仇	ahqi
安徽全省	ahqu
爱很容易	ahry
暗红色的	ahsd
安徽宿州	ahsv
安徽宿县	ahsx
爱恨随意	ahsy
爱好特长	ahti
瑷珲条约	ahty
爱好收藏	ahuc
安徽师大	ahud
安徽省会	ahuh
安徽省考	ahuk
爱好什么	ahum
安徽省内	ahun
螯合树脂	ahuv
安徽歙县	ahux
安徽中考	ahvk
爱好者们	ahvm
爱好者群	ahvq
安徽卫视	ahwu
爱好文学	ahwx
爱好文艺	ahwy
暗黑系列	ahxl
爱会消失	ahxu
爱和希望	ahxw
爱和学院	ahxy
按行业分	ahyf
爱护眼睛	ahyj
阿焕鸭面	ahym
爱好音乐	ahyy
爱护自然	ahzr
爱和尊重	ahzv
爱出风头	aift
暗戳戳地	aiid
安常处顺	aiiu
奥创纪元	aijy
爱吃萝卜	ailb
熬出来了	aill
熬出了头	ailt
爱吃零食	ailu
安插亲信	aiqx
安常守故	aiug
爱吃什么	aium
爱传万家	aiwj
暗潮汹涌	aixy
暗吃一惊	aiyj
挨家挨户	ajah
爱就爱了	ajal
爱接不接	ajbj
氨基比林	ajbl
氨甲苯酸	ajbs
按剧本走	ajbz
挨肩擦背	ajcb
案件材料	ajcl
安静低调	ajdd
阿加迪尔	ajde
安静得很	ajdh
案件调查	ajdi
按揭贷款	ajdk
安静的脸	ajdl
安静的人	ajdr
氨基丁酸	ajds
安居工程	ajgi
案件管理	ajgl
按揭还款	ajhk
氨甲环酸	ajhs
案件还原	ajhy
安静程度	ajid
案件查处	ajii
案件进度	ajjd
按件计费	ajjf
按件计酬	ajji
爱家家居	ajjj
按键精灵	ajjl
